Time	Channel A	Channel B
(us)	(V)	(mV)

99.89999425	0.00000000	-15.53273000
100.09999423	0.00000000	-14.31471000
100.29999422	0.00000000	-13.39198000
100.49999421	0.00000000	-12.11860000
100.69999420	0.00000000	-10.94980000
100.89999419	0.00000000	-10.90059000
101.09999417	0.00000000	-11.70645000
101.29999416	0.00000000	-12.57997000
101.49999415	0.00000000	-13.85334000
101.69999414	0.00000000	-15.07136000
101.89999413	0.00000000	-15.58194000
102.09999411	0.00000000	-15.99409000
102.29999410	0.00000000	-16.39395000
102.49999409	0.00000000	-15.89567000
102.69999408	0.00000000	-14.71457000
102.89999407	0.00000000	-13.03519000
103.09999406	0.00000000	-12.21703000
103.29999404	0.00000000	-12.11860000
103.49999403	0.00000000	-12.11860000
103.69999402	0.00000000	-12.16781000
103.89999401	0.00000000	-12.62918000
104.09999400	0.00000000	-13.85334000
104.29999398	0.00000000	-15.07136000
104.49999397	0.00000000	-15.53273000
104.69999396	0.00000000	-15.58194000
104.89999395	0.00000000	-15.53273000
105.09999394	0.00000000	-15.12057000
105.29999392	0.00000000	-14.26550000
105.49999391	0.00000000	-13.44119000
105.69999390	0.00000000	-12.53076000
105.89999389	0.00000000	-11.75566000
106.09999388	0.00000000	-11.30659000
106.29999387	0.00000000	-11.75566000
106.49999385	0.00000000	-12.53076000
106.69999384	0.00000000	-13.44119000
106.89999383	0.00000000	-14.26550000
107.09999382	0.00000000	-15.16978000
107.29999381	0.00000000	-15.94488000
107.49999379	0.00000000	-16.39395000
107.69999378	0.00000000	-15.94488000
107.89999377	0.00000000	-15.12057000
108.09999376	0.00000000	-13.80413000
108.29999375	0.00000000	-12.16781000
108.49999374	0.00000000	-10.90059000
108.69999372	0.00000000	-10.48843000
108.89999371	0.00000000	-10.85138000
109.09999370	0.00000000	-11.70645000
109.29999369	0.00000000	-12.57997000
109.49999368	0.00000000	-13.90256000
109.69999366	0.00000000	-15.53273000
109.89999365	0.00000000	-16.80610000
110.09999364	0.00000000	-17.21826000
110.29999363	0.00000000	-16.80610000
110.49999362	0.00000000	-15.53273000
110.69999360	0.00000000	-13.85334000
110.89999359	0.00000000	-12.16781000
111.09999358	0.00000000	-10.90059000
111.29999357	0.00000000	-10.43922000
111.49999356	-0.17531990	-10.43922000
111.69999355	0.00000000	-10.90059000
111.89999353	0.00000000	-12.21703000
112.09999352	0.00000000	-14.26550000
112.29999351	0.00000000	-16.40010000
112.49999350	0.00000000	-17.63041000
112.69999349	0.00000000	-18.07948000
112.89999347	0.00000000	-17.21826000
113.09999346	0.00000000	-15.53273000
113.29999345	0.00000000	-13.39198000
113.49999344	0.00000000	-10.90059000
113.69999343	0.00000000	-9.21505800
113.89999341	0.00000000	-8.75369100
114.09999340	0.00000000	-9.21505800
114.29999339	0.00000000	-10.90059000
114.49999338	0.00000000	-13.39198000
114.69999337	0.00000000	-15.48351000
114.89999336	0.00000000	-16.80610000
115.09999334	0.00000000	-17.26747000
115.29999333	0.00000000	-17.21826000
115.49999332	0.00000000	-16.35089000
115.69999331	0.00000000	-14.26550000
115.89999330	0.00000000	-12.16781000
116.09999328	0.00000000	-10.43922000
116.29999327	0.00000000	-9.21505800
116.49999326	0.00000000	-9.21505800
116.69999325	0.00000000	-10.43922000
116.89999324	0.00000000	-12.11860000
117.09999322	0.00000000	-13.85334000
117.29999321	0.00000000	-15.53273000
117.49999320	0.00000000	-16.75689000
117.69999319	0.00000000	-16.75689000
117.89999318	0.00000000	-15.53273000
118.09999317	0.00000000	-13.80413000
118.29999315	0.00000000	-11.70645000
118.49999314	0.00000000	-9.62106200
118.69999313	0.00000000	-8.80290300
118.89999312	0.00000000	-9.11663300
119.09999311	-0.17531990	-9.97785300
119.29999309	0.00000000	-10.85138000
119.49999308	0.00000000	-12.21703000
119.69999307	0.00000000	-14.26550000
119.89999306	0.00000000	-16.30167000
120.09999305	0.00000000	-16.75689000
120.29999303	0.00000000	-15.99409000
120.49999302	0.00000000	-15.12057000
120.69999301	0.00000000	-13.85334000
120.89999300	0.00000000	-12.67840000
121.09999299	0.00000000	-12.57997000
121.29999298	0.00000000	-12.93061000
121.49999296	0.00000000	-12.57997000
121.69999295	0.00000000	-12.62918000
121.89999294	0.00000000	-13.39198000
122.09999293	0.00000000	-13.85334000
122.29999292	0.00000000	-14.31471000
122.49999290	0.00000000	-15.07136000
122.69999289	0.00000000	-15.07136000
122.89999288	0.00000000	-14.26550000
123.09999287	0.00000000	-13.44119000
123.29999286	0.00000000	-12.57997000
123.49999284	-0.17531990	-12.16781000
123.69999283	0.00000000	-12.11860000
123.89999282	0.00000000	-12.16781000
124.09999281	0.00000000	-12.57997000
124.29999280	0.00000000	-13.39198000
124.49999279	0.00000000	-13.80413000
124.69999277	0.00000000	-13.85334000
124.89999276	0.00000000	-13.85334000
125.09999275	0.00000000	-13.85334000
125.29999274	0.00000000	-13.85334000
125.49999273	0.00000000	-13.80413000
125.69999271	0.00000000	-13.34276000
125.89999270	-0.17531990	-12.11860000
126.09999269	0.00000000	-10.94980000
126.29999268	0.00000000	-10.90059000
126.49999267	0.00000000	-11.70645000
126.69999265	0.00000000	-12.57997000
126.89999264	0.00000000	-13.85334000
127.09999263	0.00000000	-15.07136000
127.29999262	0.00000000	-15.53273000
127.49999261	0.00000000	-15.53273000
127.69999260	0.00000000	-15.12057000
127.89999258	0.00000000	-14.26550000
128.09999257	0.00000000	-13.39198000
128.29999256	0.00000000	-12.11860000
128.49999255	0.00000000	-10.90059000
128.69999254	0.00000000	-10.48843000
128.89999252	0.00000000	-10.85138000
129.09999251	0.00000000	-11.70645000
